index,RA,Dec,our_id,ObjID,Column1,Column2,cx,cy,cz,htmID,distance,objName,objNameHMS,objAltName1,objAltName2,objAltName3,objPopularName,Column3,uniquePspsOBid,ippObjID,surveyID,Column4,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,epochMean,posMeanChisq,Column5,Column6,Column7,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,Column8,Column9,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagStd,gMeanPSFMagNpt,gMeanPSFMagMin,gMeanPSFMagMax,gMeanKronMag,gMeanKronMagErr,gMeanKronMagStd,gMeanKronMagNpt,gMeanApMag,gMeanApMagErr,gMeanApMagStd,gMeanApMagNpt,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagStd,rMeanPSFMagNpt,rMeanPSFMagMin,rMeanPSFMagMax,rMeanKronMag,rMeanKronMagErr,rMeanKronMagStd,rMeanKronMagNpt,rMeanApMag,rMeanApMagErr,rMeanApMagStd,rMeanApMagNpt,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagStd,iMeanPSFMagNpt,iMeanPSFMagMin,iMeanPSFMagMax,iMeanKronMag,iMeanKronMagErr,iMeanKronMagStd,iMeanKronMagNpt,iMeanApMag,iMeanApMagErr,iMeanApMagStd,iMeanApMagNpt,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagStd,zMeanPSFMagNpt,zMeanPSFMagMin,zMeanPSFMagMax,zMeanKronMag,zMeanKronMagErr,zMeanKronMagStd,zMeanKronMagNpt,zMeanApMag,zMeanApMagErr,zMeanApMagStd,zMeanApMagNpt,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagStd,yMeanPSFMagNpt,yMeanPSFMagMin,yMeanPSFMagMax,yMeanKronMag,yMeanKronMagErr,yMeanKronMagStd,yMeanKronMagNpt,yMeanApMag,yMeanApMagErr,yMeanApMagStd,yMeanApMagNpt,yFlags
1,318.896118,3.292645,979,111953188960231660,318.89603698,3.29265855,0.752274002074103,-0.656342075046095,0.0574361064801459,13334452807671,0.00492080048823091,PSO J318.8960+03.2927,PSX J211535.04+031733.5,-999,-999,-999,-999,111953188960231660,3590146000021394,79426830226322,0,13334452807671,11195,1,1402,87,0.050920330035426,3590146,18493,3,512024576,61,318.89602104,3.29268118,0.00100000004749745,0.00100000004749745,318.89603698,3.29265855,0.0326899997889996,0.0102800000458956,56850.49706019,9.72509956359863,0.752274002074103,-0.656342075046095,0.0574361064801459,322.39969699621,18.2868462007355,54.4886545458692,-29.7704847806519,-999,5,70,12,14,19,13,12,111953188960231660,3590146000021394,0.999670028686523,18.7332000732422,0.011998999863863,0.0443769991397858,6,18.6877002716064,18.805700302124,17.698600769043,0.00559499999508262,0.013760999776423,8,18.0610008239746,0.0170189999043942,0.0598499998450279,8,16892216,0.999715983867645,17.6826000213623,0.00962300039827824,0.0214150007814169,5,17.6544990539551,17.7101993560791,16.7054996490479,0.0232710000127554,0.0633369982242584,8,17.046199798584,0.0303199999034405,0.110954001545906,8,16892216,0.999688029289246,17.275899887085,0.0715280026197433,0.257934004068375,12,16.8712005615234,17.5317993164063,16.218599319458,0.00963000021874905,0.0303739998489618,14,16.609899520874,0.0633149966597557,0.212762996554375,14,16892216,0.99905800819397,16.9568004608154,0.0304719991981983,0.124704003334045,12,16.7903003692627,17.1289005279541,15.9343996047974,0.0058929999358952,0.0769580006599426,13,16.3101997375488,0.0221919994801283,0.0652669966220856,13,16892216,0.999895989894867,16.816499710083,0.0504520013928413,0.180752992630005,8,16.596399307251,17.1396999359131,15.7650995254517,0.00982499960809946,0.0398349985480309,10,16.0564994812012,0.0457970015704632,0.130986005067825,10,16892216
1,318.896118,3.292645,979,111953188962371409,318.89625787,3.29244736,0.752276691957032,-0.656339314008074,0.0574324266037507,13334452807548,0.0145195849969504,PSO J318.8963+03.2924,PSX J211535.10+031732.8,-999,-999,-999,-999,111953188962371409,3590146000021427,79426830226355,0,13334452807548,11195,1,1402,87,0.877379467596653,3590146,18493,3,310456320,37,-999,-999,-999,-999,318.89625787,3.29244736,0.0150600001215935,0.0150600001215935,55416.46243056,0.989199995994568,0.752276691957032,-0.656339314008074,0.0574324266037507,322.399847161806,18.2865761951106,54.488594864062,-29.770785694092,-999,0,2,2,0,0,0,0,111953188962371409,3590146000021427,0.98800802230835,18.9568004608154,0.0216060001403093,0.030562000349164,2,18.9356002807617,18.9787998199463,18.0942001342773,0.000357999990228564,0.000949000008404255,2,18.2138996124268,0.0327819995582104,0.04636500030756,2,16777496,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,0,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,0,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,0,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,0
2,318.647034,3.434914,980,112123186468732403,318.64691089,3.43493286,0.74930370785573,-0.659510536862622,0.0599149827741907,13334541998794,0.00745965902213073,PSO J318.6469+03.4349,PSX J211435.25+032605.7,-999,-999,-999,-999,112123186468732403,3590126000055175,79164837255047,0,13334541998794,11212,1,1402,88,0.168483642086837,3590126,18432,3,512024576,61,318.64688221,3.43496149,0.00100000004749745,0.00100000004749745,318.64691089,3.43493286,0.0204300004988909,0.0181900002062321,56914.54688657,14.5152997970581,0.74930370785573,-0.659510536862622,0.0599149827741907,322.198245944156,18.5002713493367,54.4644754613267,-29.4847395563267,-999,5,54,8,10,22,7,7,112123186468732403,3590126000055175,0.999143004417419,18.6431999206543,0.00995200034230947,0.0251720007508993,4,18.6152992248535,18.6762008666992,17.7318992614746,0.00706500001251698,0.0155769996345043,6,18.0352001190186,0.0430100001394749,0.0929749980568886,6,16892216,0.998802006244659,17.6728992462158,0.0139709999784827,0.0199870001524687,3,17.6448001861572,17.676399230957,16.8421001434326,0.0344729982316494,0.0961230024695396,5,17.1110992431641,0.00790200009942055,0.00909900013357401,5,16892216,0.999444007873535,17.2264995574951,0.0506169982254505,0.246138006448746,17,16.5361995697021,17.4437999725342,16.3584995269775,0.00705499993637204,0.117633000016212,21,16.6676998138428,0.0412050001323223,0.20040200650692,21,16892216,0.999505996704102,17.0116996765137,0.020796999335289,0.0413540005683899,4,16.9857006072998,17.0715999603271,16.3335990905762,0.00951300002634525,0.111014001071453,6,16.4888000488281,0.0267440006136894,0.0568460002541542,6,16892216,0.998862028121948,16.8419990539551,0.0386560000479221,0.114031001925468,4,16.6770000457764,16.9493007659912,15.9628000259399,0.0130829997360706,0.0417939983308315,5,16.3295001983643,0.0305920001119375,0.0569069981575012,5,16892216
3,318.80719,3.496223,981,112193188071385746,318.80716547,3.49604483,0.751096889693838,-0.657369717977629,0.0609796374067232,13334590384788,0.0107906679980646,PSO J318.8072+03.4960,PSX J211513.71+032945.7,-999,-999,-999,-999,112193188071385746,3590146000008200,79426830213127,0,13334590384788,11219,1,1402,87,0.882715633029785,3590146,18493,3,512024576,61,318.80715186,3.496069,0.00100000004749745,0.00100000004749745,318.80716547,3.49604483,0.00711000012233853,0.00359000009484589,56167.62063657,4.08809995651245,0.751096889693837,-0.657369717977629,0.0609796374067232,322.378642737673,18.5078378314311,54.6255352512512,-29.5831535647261,-999,10,72,12,12,25,11,12,112193188071385746,3590146000008200,0.999642014503479,19.4396991729736,0.0340740010142326,0.103162996470928,6,19.2844009399414,19.4951992034912,17.8129005432129,0.0158149991184473,0.0472830012440681,8,18.4895000457764,0.0245670005679131,0.0714740008115768,8,16892216,0.998852014541626,18.4741992950439,0.00718299997970462,0.0206969995051622,7,18.4314994812012,18.4862003326416,16.7537002563477,0.0108839999884367,0.0315669998526573,12,17.668399810791,0.0414719991385937,0.160264998674393,12,16892216,0.999786972999573,18.1784000396729,0.0287590008229017,0.110844999551773,14,17.9953002929688,18.3561992645264,16.2816009521484,0.0158649999648333,0.0662880018353462,22,17.3157005310059,0.0333769991993904,0.120832003653049,22,16892216,0.999347984790802,17.860200881958,0.0339850001037121,0.0952939987182617,8,17.8040008544922,18.0389995574951,16.1735992431641,0.0186000000685453,0.191830992698669,11,16.9715003967285,0.0407870002090931,0.103697001934052,11,16892216,0.999288976192474,17.7917003631592,0.0293199997395277,0.180757001042366,9,17.4463996887207,18.0177001953125,16.2275009155273,0.0401890017092228,0.133771002292633,12,16.9437999725342,0.0411520004272461,0.192828997969627,12,16892216
4,318.637299,3.542414,982,112253186372901381,318.63731953,3.54240776,0.749107624896769,-0.659560532643054,0.0617872972473551,13334588473260,0.00128519022865131,PSO J318.6373+03.5424,PSX J211432.95+033232.6,-999,-999,-999,-999,112253186372901381,3590126000053947,79164837253819,0,13334588473260,11225,1,1402,88,0.939547756630506,3590126,18432,3,512024576,61,318.63728615,3.54243406,0.00100000004749745,0.00100000004749745,318.63731953,3.54240776,0.00496000004932284,0.00398000003769994,56025.99609954,3.25729990005493,0.749107624896769,-0.659560532643054,0.0617872972473551,322.224364774597,18.6052921948819,54.5606644897039,-29.4167184002767,-999,5,70,12,16,14,14,14,112253186372901381,3590126000053947,0.999228000640869,18.9626007080078,0.0229219999164343,0.071043998003006,8,18.8845996856689,19.0865001678467,17.9141998291016,0.0179069992154837,0.0653650015592575,9,18.3285007476807,0.0438820011913776,0.150521993637085,9,16892216,0.999644994735718,17.9936008453369,0.0120000001043081,0.0435670018196106,13,17.9207992553711,18.0534992218018,16.8223991394043,0.0160869993269444,0.060189001262188,16,17.2851009368896,0.0197759997099638,0.074072003364563,16,16892216,0.999688982963562,17.5440006256104,0.0416899994015694,0.135480999946594,9,17.288200378418,17.7180995941162,16.2562999725342,0.015459000132978,0.0437970012426376,13,16.8523006439209,0.0562810003757477,0.172275006771088,13,16892216,0.999210000038147,17.2889995574951,0.0262770000845194,0.0987809970974922,9,17.2217998504639,17.4743995666504,16.1756000518799,0.0353729985654354,0.158445999026299,13,16.5697002410889,0.0219960007816553,0.0644130036234856,13,16892216,0.999357998371124,17.1481990814209,0.0416929982602596,0.143960997462273,10,16.9377002716064,17.3815994262695,16.0193004608154,0.0231490004807711,0.100670002400875,13,16.3805999755859,0.0351039990782738,0.147541001439095,13,16892216
4,318.637299,3.542414,982,112253186376641422,318.63777123,3.54252595,0.749112728956717,-0.659554542692615,0.0617893561105475,13334588473232,0.0290664301590391,PSO J318.6378+03.5425,PSX J211433.06+033233.0,-999,-999,-999,-999,112253186376641422,3590126000054006,79164837253878,0,13334588473232,11225,1,1402,88,0.0739406254831148,3590126,18432,3,277348352,33,-999,-999,-999,-999,318.63777123,3.54252595,0.029789999127388,0.029789999127388,56114.38603009,-999,0.749112728956717,-0.659554542692615,0.0617893561105475,322.224855537374,18.6052623484135,54.5610664783521,-29.4170259890104,-999,0,2,0,0,1,0,1,112253186376641422,3590126000054006,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,0,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,0,0.732151985168457,19.3980007171631,0.0398599989712238,-999,1,19.3980007171631,19.3980007171631,18.9074993133545,0.032285001128912,-999,1,18.9034996032715,0.0398599989712238,-999,1,16781336,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,0,0.664186000823975,17.5480995178223,0.0388830006122589,-999,1,17.5480995178223,17.5480995178223,17.3465995788574,0.0372450016438961,-999,1,17.339599609375,0.0388830006122589,-999,1,16781336
5,318.541565,3.66297,983,112393185416335830,318.54162199,3.66277766,0.747906026057441,-0.660723399910198,0.0638839964159584,13334580971149,0.0120343428503394,PSO J318.5416+03.6628,PSX J211409.98+033945.9,-999,-999,-999,-999,112393185416335830,3590126000041383,79164837241255,0,13334580971149,11239,1,1402,98,0.466554722251887,3590126,18432,3,512024576,61,318.5416248,3.66281921,0.00100000004749745,0.00100000004749745,318.54162199,3.66277766,0.00810000021010637,0.00505999987944961,56269.07105324,8.71969985961914,0.747906026057441,-0.660723399910198,0.0638839964159584,322.168689790255,18.7496145919827,54.6138070758768,-29.2702095825237,-999,5,82,14,14,32,10,12,112393185416335830,3590126000041383,0.999738991260529,18.9778995513916,0.00911999959498644,0.041032999753952,7,18.8929004669189,19.0025997161865,17.8633003234863,0.0123560000211,0.0336209982633591,11,18.156099319458,0.0264769997447729,0.070422001183033,11,16892216,0.999311983585358,18.1091003417969,0.0477540008723736,0.121352002024651,10,17.9997997283936,18.3092994689941,16.6636009216309,0.0485970005393028,0.329917013645172,12,17.3554992675781,0.0365470014512539,0.113753996789455,12,16892216,0.999684989452362,17.5594005584717,0.0376939997076988,0.193891003727913,22,17.2229995727539,17.925199508667,16.1879997253418,0.0524949990212917,0.273689985275269,26,16.755500793457,0.0417000018060207,0.192475005984306,27,16892216,0.999126017093658,17.3554992675781,0.0118389995768666,0.0323360003530979,4,17.323299407959,17.400899887085,15.9713001251221,0.0860510021448135,0.3906269967556,7,16.5877990722656,0.00571999978274107,0.0995370000600815,7,16892216,0.999625980854034,17.2758007049561,0.0432370007038116,0.185166001319885,8,16.9634990692139,17.5223007202148,15.7757997512817,0.0228220000863075,0.0978360027074814,12,16.4538993835449,0.0352739989757538,0.147964999079704,12,16892216
6,318.644531,3.477692,984,112173186442583398,318.64425428,3.4775452,0.749239472644303,-0.659515653973891,0.0606573556551717,13334587810228,0.0187678663800383,PSO J318.6443+03.4775,PSX J211434.62+032839.1,-999,-999,-999,-999,112173186442583398,3590126000054810,79164837254682,0,13334587810228,11217,1,1402,88,0.667233592520685,3590126,18432,3,268959744,32,-999,-999,-999,-999,318.64425428,3.4775452,0.0277600008994341,0.0277600008994341,56233.20449074,-999,0.749239472644303,-0.659515653973891,0.0606573556551717,322.209742956242,18.5415508784268,54.5033628587613,-29.4587268398443,-999,0,3,1,0,1,0,1,112173186442583398,3590126000054810,0.427421987056732,19.8922996520996,0.0384860001504421,-999,1,19.8922996520996,19.8922996520996,19.9761009216309,0.0376240015029907,-999,1,20.3960990905762,0.0384860001504421,-999,1,4120,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,0,0.836786985397339,18.1823997497559,0.262975007295609,-999,1,18.1823997497559,18.1823997497559,18.0811004638672,0.275754004716873,-999,1,17.9062004089355,0.262975007295609,-999,1,4120,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,0,0.774255990982056,18.3262996673584,0.0347799994051456,-999,1,18.3262996673584,18.3262996673584,-999,-999,-999,0,19.3469009399414,0.0347799994051456,-999,1,4120
6,318.644531,3.477692,984,112173186444823791,318.64454509,3.47778508,0.749242629436321,-0.65951168333117,0.0606615346412661,13334587810718,0.00564819106490683,PSO J318.6445+03.4778,PSX J211434.69+032840.0,-999,-999,-999,-999,112173186444823791,3590126000054842,79164837254714,0,13334587810718,11217,1,1402,88,0.812874164258013,3590126,18432,3,512024576,61,318.6444857,3.47777717,0.00100000004749745,0.00100000004749745,318.64454509,3.47778508,0.0526599995791912,0.0804800018668175,56846.8308912,104.380996704102,0.749242629436321,-0.65951168333117,0.0606615346412661,322.210113224723,18.5416871367859,54.5037776491487,-29.4588334403988,-999,5,71,12,12,21,11,15,112173186444823791,3590126000054842,0.999203979969025,17.9533004760742,0.0197310000658035,0.0562120005488396,10,17.8777008056641,18.0270004272461,17.3929996490479,0.0116370003670454,0.0269070006906986,10,17.5566997528076,0.00834299996495247,0.0264369994401932,10,16892216,0.999671995639801,17.2021999359131,0.015472000464797,0.0516650006175041,10,17.1208992004395,17.2710990905762,16.5289001464844,0.0069670001976192,0.0220389999449253,12,16.7789993286133,0.0203339997678995,0.0892560034990311,12,16892216,0.999521970748901,16.8533992767334,0.032260000705719,0.145650997757912,17,16.5965003967285,17.0181007385254,16.0704002380371,0.00321600004099309,0.0139779997989535,19,16.3339996337891,0.027819000184536,0.124839000403881,19,16892216,0.999364972114563,16.8570003509521,0.00615799985826015,0.0404330007731915,5,16.7794990539551,16.8712005615234,15.9003000259399,0.010351000353694,0.0933850035071373,10,16.270299911499,0.0105149997398257,0.0191549994051456,10,16892216,0.999563992023468,16.6140995025635,0.0408169999718666,0.163337007164955,11,16.3852005004883,16.8619995117188,15.8625001907349,0.0266830008476973,0.0726170018315315,13,16.0590991973877,0.0320370011031628,0.136199995875359,13,16892216
7,318.604462,3.672971,985,112403186045537972,318.60455835,3.67291888,0.748622850077739,-0.659893979232592,0.0640606315458931,13334578352612,0.00656217884737086,PSO J318.6046+03.6729,PSX J211425.09+034022.5,-999,-999,-999,-999,112403186045537972,3590126000049507,79164837249379,0,13334578352612,11240,1,1402,98,0.649721493618303,3590126,18432,3,512024576,61,318.60454222,3.672928,0.00100000004749745,0.00100000004749745,318.60455835,3.67291888,0.0147700002416968,0.0192900002002716,56308.11282407,34.6487998962402,0.748622850077739,-0.659893979232592,0.0640606315458931,322.235012443511,18.7394579326257,54.6637623790419,-29.316572388545,-999,5,83,12,12,34,10,15,112403186045537972,3590126000049507,0.999185979366302,19.763599395752,0.0487620010972023,0.198614001274109,9,19.4946002960205,20.1107997894287,17.3745002746582,0.020736999809742,0.0414780005812645,11,18.2779998779297,0.122440002858639,0.300922006368637,11,16892216,0.999679982662201,19.0083999633789,0.0299019999802113,0.11005599796772,10,18.880500793457,19.1679992675781,16.7966995239258,0.0167939998209476,0.0466680005192757,11,17.778600692749,0.0254839994013309,0.0719500035047531,11,16892216,0.999907970428467,18.3015995025635,0.0338679999113083,0.203557997941971,20,18.1354999542236,18.8276996612549,16.4155006408691,0.00992999970912933,0.0406819991767406,27,17.2318992614746,0.0614980012178421,0.328673988580704,28,16892216,0.999153017997742,18.2248001098633,0.0432559996843338,0.137535005807877,7,18.1718006134033,18.4220008850098,16.3743991851807,0.0206679999828339,0.128702998161316,9,17.1777992248535,0.0613830015063286,0.199458003044128,9,16892216,0.999490976333618,18.002799987793,0.0655839964747429,0.18001900613308,10,17.6905002593994,18.1718006134033,16.3076992034912,0.0324480012059212,0.0954319983720779,14,17.1583995819092,0.05791400000453,0.22375899553299,14,16892216
8,318.632294,3.313248,986,111973186323516216,318.63244283,3.31304593,0.749231108282664,-0.659782469555091,0.0577913423387663,13334547901896,0.0150489605707273,PSO J318.6324+03.3130,PSX J211431.78+031846.9,-999,-999,-999,-999,111973186323516216,3590126000053323,79164837253195,0,13334547901896,11197,1,1402,88,0.958087587690062,3590126,18432,3,512024576,61,318.63238424,3.31309667,0.00100000004749745,0.00100000004749745,318.63244283,3.31304593,0.0603899993002415,0.0527300015091896,56903.42092593,43.0043983459473,0.749231108282664,-0.659782469555091,0.0577913423387663,322.1433560986,18.3891240303062,54.3390065289499,-29.5408004735637,-999,5,66,10,10,23,13,10,111973186323516216,3590126000053323,0.999656021595001,19.2397994995117,0.00855999998748302,0.0220410004258156,7,19.2198009490967,19.2768001556396,18.5855007171631,0.0213549993932247,0.0413849987089634,7,18.6972999572754,0.0170889999717474,0.0434090010821819,7,16892216,0.999746024608612,18.1137008666992,0.0219240002334118,0.0501840002834797,9,18.0412998199463,18.1758995056152,17.5995006561279,0.0119089996442199,0.0360709987580776,10,17.6173992156982,0.0110590001568198,0.0333269983530045,10,16892216,0.999545991420746,17.506799697876,0.0129289999604225,0.0488470010459423,10,17.4582004547119,17.5809001922607,17.0928001403809,0.0143200000748038,0.0631010010838509,13,17.1877994537354,0.0475029982626438,0.172805994749069,14,16892216,0.999225974082947,17.2476005554199,0.00923100020736456,0.0430169999599457,9,17.1485996246338,17.2768001556396,16.7035007476807,0.0322390012443066,0.109465003013611,11,16.8190002441406,0.0274689998477697,0.0887920036911964,11,16892216,0.999571025371552,16.8973999023438,0.0465210005640984,0.0880279988050461,8,16.7908000946045,17.0466003417969,16.3673000335693,0.0456000007688999,0.100615002214909,10,16.4242000579834,0.0700239986181259,0.0693150013685226,10,16892216
9,318.786041,3.488722,987,112183187859846838,318.78600093,3.48862421,0.750859946861863,-0.657652319573173,0.0608503636688029,13334593478340,0.00633917637780977,PSO J318.7860+03.4886,PSX J211508.64+032919.0,-999,-999,-999,-999,112183187859846838,3590146000005271,79426830210198,0,13334593478340,11218,1,1402,88,0.199194308555866,3590146,18493,3,520413184,62,318.7859974,3.48865217,0.00100000004749745,0.00100000004749745,318.78600093,3.48862421,0.00258999993093312,0.0014400000218302,56821.08366898,6.38570022583008,0.750859946861863,-0.657652319573173,0.0608503636688029,322.355034212341,18.5074635933202,54.6048652437919,-29.569805117348,-999,10,73,12,14,24,11,12,112183187859846838,3590146000005271,0.999702990055084,17.7952003479004,0.00629300018772483,0.0167500004172325,11,17.766300201416,17.8150997161865,17.8582992553711,0.00396500015631318,0.011307000182569,11,17.7917003631592,0.00437799980863929,0.015557000413537,11,115000,0.999009013175964,16.8635997772217,0.00351399998180568,0.0126790003851056,13,16.8386001586914,16.8733997344971,16.9218006134033,0.00316599989309907,0.0110670002177358,14,16.8605003356934,0.00268599996343255,0.00943799968808889,14,115000,0.999630987644196,16.4675998687744,0.00197299988940358,0.00744500011205673,18,16.4554004669189,16.4829006195068,16.5223007202148,0.00231499993242323,0.00906800013035536,19,16.4643001556396,0.00618899986147881,0.0298239998519421,20,115000,0.999435007572174,16.305700302124,0.00261400011368096,0.00649600010365248,8,16.301700592041,16.3185997009277,16.3672008514404,0.00705000013113022,0.0309560000896454,10,16.2936992645264,0.00112799997441471,0.0131799997761846,10,115000,0.99922901391983,16.1623001098633,0.00603500008583069,0.0146329998970032,12,16.1326007843018,16.1844005584717,16.252799987793,0.0142740001901984,0.029839999973774,12,16.1630001068115,0.014919999986887,0.0256919991225004,12,115000
9,318.786041,3.488722,987,112183187861427145,318.78618201,3.4889588,0.750861758005013,-0.65764971238095,0.0608561925433646,13334593478308,0.0165282767708685,PSO J318.7862+03.4890,PSX J211508.68+032920.2,-999,-999,-999,-999,112183187861427145,3590146000005296,79426830210223,0,13334593478308,11218,1,1402,88,0.892299710672628,3590146,18493,3,268959744,32,-999,-999,-999,-999,318.78618201,3.4889588,0.0145199997350574,0.0145199997350574,56886.4378125,-999,0.750861758005013,-0.65764971238095,0.0608561925433646,322.355326414305,18.507724054993,54.6053003430329,-29.5697675693867,-999,0,2,0,0,2,0,0,112183187861427145,3590146000005296,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,0,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,0,0.469579994678497,17.5063991546631,1.99999999495049E-06,-999,1,17.5063991546631,17.5063991546631,-999,-999,-999,0,18.1107997894287,1.99999999495049E-06,-999,2,24,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,0,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,0
10,318.76239,3.630107,988,112353187625186379,318.76254048,3.62992331,0.750475471233127,-0.657858792273509,0.0633117406636058,13334596159066,0.0142360005302468,PSO J318.7625+03.6299,PSX J211503.00+033747.7,-999,-999,-999,-999,112353187625186379,3590146000001936,79426830206863,0,13334596159066,11235,1,1402,98,0.166656224212289,3590146,18493,3,512024576,61,318.76252671,3.62993377,0.00100000004749745,0.00100000004749745,318.76254048,3.62992331,0.00892999954521656,0.00641999999061227,56279.54793981,7.1136999130249,0.750475471233127,-0.657858792273509,0.0633117406636058,322.378643444239,18.6489305147832,54.7242930972986,-29.4712475676161,-999,5,68,13,12,22,10,11,112353187625186379,3590146000001936,0.999450981616974,19.3381996154785,0.0122699998319149,0.0304559990763664,6,19.3096008300781,19.3782997131348,17.9409008026123,0.0378969982266426,0.0987450033426285,8,18.6721000671387,0.0877299979329109,0.196118995547295,8,16892216,0.999589025974274,18.5330009460449,0.016507999971509,0.052216999232769,8,18.434700012207,18.5923004150391,17.2035007476807,0.00502600008621812,0.0164940003305674,11,17.7315006256104,0.0125749995931983,0.0306589994579554,11,16892216,0.999589025974274,18.0410995483398,0.0326289981603622,0.132115006446838,17,17.8087997436523,18.274299621582,16.7581996917725,0.0101319998502731,0.0389119982719421,22,17.2385005950928,0.0265980008989573,0.108805000782013,22,16892216,0.999392986297607,17.9186992645264,0.022494999691844,0.0741510018706322,6,17.798999786377,18.0076999664307,16.556999206543,0.00989199988543987,0.0214070007205009,7,17.1618995666504,0.0360799990594387,0.0916830003261566,7,16892216,0.99890798330307,17.7049999237061,0.0175720006227493,0.111024998128414,9,17.5041007995605,17.8801002502441,16.5494995117188,0.0398869998753071,0.136651992797852,10,16.9682998657227,0.0233459994196892,0.0791789963841438,10,16892216
11,318.815521,3.718446,989,112463188154582702,318.81544975,3.71852884,0.751008061283643,-0.657100234559841,0.0648550200708199,13334554002327,0.00655008644146938,PSO J318.8154+03.7185,PSX J211515.70+034306.7,-999,-999,-999,-999,112463188154582702,3590146000009604,79426830214531,0,13334554002327,11246,1,1402,97,0.263244146726322,3590146,18493,3,1577377792,188,318.81544729,3.7185471,0.00100000004749745,0.00100000004749745,318.81544975,3.71852884,0.00307000009343028,0.00583000015467405,56823.41217593,9.1555004119873,0.751008061283643,-0.657100234559841,0.0648550200708199,322.461073259055,18.716320073229,54.8425632817718,-29.4652360064108,-999,5,85,18,13,35,9,10,112463188154582702,3590146000009604,0.999661982059479,16.9710006713867,0.00383200007490814,0.0142329996451736,16,16.9461002349854,16.9923000335693,17.028600692749,0.0061429999768734,0.0213549993932247,16,16.9640007019043,0.00479000015184283,0.0163870006799698,16,246072,0.999724984169006,16.5555992126465,0.00237099989317358,0.00813200045377016,11,16.5391006469727,16.5687999725342,16.605899810791,0.00380999990738928,0.0130759999155998,12,16.5618000030518,0.00241299998015165,0.00704699987545609,12,115000,0.999679028987885,16.415599822998,0.00228899996727705,0.013837999664247,30,16.3875999450684,16.4437999725342,16.471700668335,0.00245200004428625,0.0144330002367496,35,16.4108009338379,0.00160900002811104,0.00974899996072054,35,246072,0.998435974121094,16.3820991516113,0.00594699988141656,0.03838299959898,8,16.3668003082275,16.4729995727539,16.4216995239258,0.00459000002592802,0.0366039983928204,8,16.3659992218018,0.004850999917835,0.0224060006439686,8,246072,0.999652981758118,16.3356990814209,0.00635199993848801,0.021747000515461,10,16.289400100708,16.3600997924805,16.4368000030518,0.00664700008928776,0.0175340007990599,10,16.3414993286133,0.0106109995394945,0.0223190002143383,10,246072
